day,date,year,month,day_of_month,day_of_week,is_weekend,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,powerball,sum_main_balls,mean_main_balls,min_main_ball,max_main_ball,range_main_balls,odd_count,even_count,is_powerball_even
665,2016-05-21,2016,5,21,5,1,1,10,14,30,41,44,46,140,23.33,1,44,43,2,4,1
666,2016-05-25,2016,5,25,2,0,4,12,13,20,44,48,43,141,23.5,4,48,44,1,5,0
667,2016-05-28,2016,5,28,5,1,1,5,20,23,47,49,41,145,24.17,1,49,48,5,1,0
668,2016-06-01,2016,6,1,2,0,14,24,31,40,42,47,15,198,33.0,14,47,33,2,4,0
669,2016-06-04,2016,6,4,5,1,1,11,17,26,27,42,16,124,20.67,1,42,41,4,2,1
670,2016-06-08,2016,6,8,2,0,1,4,25,27,45,48,19,150,25.0,1,48,47,4,2,0
671,2016-06-11,2016,6,11,5,1,6,7,8,12,27,30,39,90,15.0,6,30,24,2,4,0
672,2016-06-15,2016,6,15,2,0,6,23,26,29,32,47,19,163,27.17,6,47,41,3,3,0
673,2016-06-18,2016,6,18,5,1,3,6,15,28,35,49,12,136,22.67,3,49,46,4,2,1
674,2016-06-22,2016,6,22,2,0,7,17,19,35,36,42,32,156,26.0,7,42,35,4,2,1
675,2016-06-25,2016,6,25,5,1,4,15,20,28,44,46,26,157,26.17,4,46,42,1,5,1
676,2016-06-29,2016,6,29,2,0,9,13,25,36,46,47,42,176,29.33,9,47,38,4,2,1
677,2016-07-02,2016,7,2,5,1,3,4,23,24,33,40,37,127,21.17,3,40,37,3,3,0
678,2016-07-06,2016,7,6,2,0,3,11,14,16,21,22,5,87,14.5,3,22,19,3,3,0
679,2016-07-09,2016,7,9,5,1,12,15,16,21,34,40,23,138,23.0,12,40,28,2,4,0
680,2016-07-13,2016,7,13,2,0,4,11,32,39,45,47,25,178,29.67,4,47,43,4,2,0
681,2016-07-16,2016,7,16,5,1,4,7,31,34,37,48,22,161,26.83,4,48,44,3,3,1
682,2016-07-20,2016,7,20,2,0,13,24,27,36,48,49,17,197,32.83,13,49,36,3,3,0
683,2016-07-23,2016,7,23,5,1,5,16,24,36,38,41,4,160,26.67,5,41,36,2,4,1
684,2016-07-27,2016,7,27,2,0,2,19,22,28,40,45,1,156,26.0,2,45,43,2,4,0
685,2016-07-30,2016,7,30,5,1,28,29,30,34,43,49,40,213,35.5,28,49,21,3,3,1
686,2016-08-03,2016,8,3,2,0,7,8,11,20,43,44,28,133,22.17,7,44,37,3,3,1
687,2016-08-06,2016,8,6,5,1,1,8,11,14,40,48,16,122,20.33,1,48,47,2,4,1
688,2016-08-10,2016,8,10,2,0,3,30,35,37,41,45,24,191,31.83,3,45,42,5,1,1
689,2016-08-13,2016,8,13,5,1,4,9,14,17,20,24,12,88,14.67,4,24,20,2,4,1
690,2016-08-17,2016,8,17,2,0,5,16,22,23,29,43,10,138,23.0,5,43,38,4,2,1
691,2016-08-20,2016,8,20,5,1,15,24,34,43,46,48,39,210,35.0,15,48,33,2,4,0
692,2016-08-24,2016,8,24,2,0,2,7,9,13,29,40,45,100,16.67,2,40,38,4,2,0
693,2016-08-27,2016,8,27,5,1,7,11,20,22,25,27,10,112,18.67,7,27,20,4,2,1
694,2016-08-31,2016,8,31,2,0,1,16,19,27,38,43,31,144,24.0,1,43,42,4,2,0
695,2016-09-03,2016,9,3,5,1,8,10,15,22,29,42,16,126,21.0,8,42,34,2,4,1
696,2016-09-07,2016,9,7,2,0,6,9,24,43,44,49,46,175,29.17,6,49,43,3,3,1
697,2016-09-10,2016,9,10,5,1,2,7,10,26,38,48,17,131,21.83,2,48,46,1,5,0
698,2016-09-14,2016,9,14,2,0,8,16,18,24,45,47,22,158,26.33,8,47,39,2,4,1
699,2016-09-17,2016,9,17,5,1,2,8,11,12,16,25,6,74,12.33,2,25,23,2,4,1
700,2016-09-21,2016,9,21,2,0,22,23,28,37,46,48,11,204,34.0,22,48,26,2,4,0
701,2016-09-24,2016,9,24,5,1,8,10,17,20,33,35,49,123,20.5,8,35,27,3,3,0
702,2016-09-28,2016,9,28,2,0,9,16,23,30,31,45,19,154,25.67,9,45,36,4,2,0
703,2016-10-01,2016,10,1,5,1,3,4,26,32,37,39,35,141,23.5,3,39,36,3,3,0
704,2016-10-05,2016,10,5,2,0,7,15,17,25,31,40,47,135,22.5,7,40,33,5,1,0
705,2016-10-08,2016,10,8,5,1,1,14,38,39,40,48,45,180,30.0,1,48,47,2,4,0
706,2016-10-12,2016,10,12,2,0,5,14,18,32,36,48,23,153,25.5,5,48,43,1,5,0
707,2016-10-15,2016,10,15,5,1,8,17,22,23,34,49,37,153,25.5,8,49,41,3,3,0
708,2016-10-19,2016,10,19,2,0,1,23,26,39,41,45,34,175,29.17,1,45,44,5,1,1
709,2016-10-22,2016,10,22,5,1,1,5,27,29,34,42,14,138,23.0,1,42,41,4,2,1
710,2016-10-26,2016,10,26,2,0,23,27,29,32,43,49,9,203,33.83,23,49,26,5,1,0
711,2016-10-29,2016,10,29,5,1,11,17,33,40,41,47,18,189,31.5,11,47,36,5,1,1
712,2016-11-02,2016,11,2,2,0,4,19,23,26,38,41,48,151,25.17,4,41,37,3,3,1
713,2016-11-05,2016,11,5,5,1,11,29,30,36,37,38,10,181,30.17,11,38,27,3,3,1
714,2016-11-09,2016,11,9,2,0,6,10,11,38,39,43,1,147,24.5,6,43,37,3,3,0
715,2016-11-12,2016,11,12,5,1,4,9,18,35,40,44,48,150,25.0,4,44,40,2,4,1
716,2016-11-16,2016,11,16,2,0,8,11,24,25,36,46,47,150,25.0,8,46,38,2,4,0
717,2016-11-19,2016,11,19,5,1,7,13,20,25,32,43,14,140,23.33,7,43,36,4,2,1
718,2016-11-23,2016,11,23,2,0,1,5,38,39,40,41,12,164,27.33,1,41,40,4,2,1
719,2016-11-26,2016,11,26,5,1,7,9,22,24,43,48,23,153,25.5,7,48,41,3,3,0
720,2016-11-30,2016,11,30,2,0,3,5,7,10,23,32,38,80,13.33,3,32,29,4,2,1
721,2016-12-03,2016,12,3,5,1,2,18,21,27,39,46,41,153,25.5,2,46,44,3,3,0
722,2016-12-07,2016,12,7,2,0,1,13,23,29,31,39,14,136,22.67,1,39,38,6,0,1
723,2016-12-10,2016,12,10,5,1,3,12,15,34,43,46,32,153,25.5,3,46,43,3,3,1
724,2016-12-14,2016,12,14,2,0,8,9,20,21,27,39,32,124,20.67,8,39,31,4,2,1
725,2016-12-17,2016,12,17,5,1,12,22,34,38,40,47,9,193,32.17,12,47,35,1,5,0
726,2016-12-21,2016,12,21,2,0,11,29,33,34,36,40,16,183,30.5,11,40,29,3,3,1
727,2016-12-24,2016,12,24,5,1,11,14,23,30,32,33,39,143,23.83,11,33,22,3,3,0
728,2016-12-28,2016,12,28,2,0,4,27,39,43,45,49,47,207,34.5,4,49,45,5,1,0
729,2016-12-31,2016,12,31,5,1,9,13,21,24,48,49,36,164,27.33,9,49,40,4,2,1
730,2017-01-04,2017,1,4,2,0,5,6,20,29,41,43,15,144,24.0,5,43,38,4,2,0
731,2017-01-07,2017,1,7,5,1,14,27,28,30,33,49,12,181,30.17,14,49,35,3,3,1
732,2017-01-11,2017,1,11,2,0,6,10,30,36,46,47,31,175,29.17,6,47,41,1,5,0
733,2017-01-14,2017,1,14,5,1,3,14,16,26,30,35,7,124,20.67,3,35,32,2,4,0
734,2017-01-18,2017,1,18,2,0,4,12,23,27,28,32,33,126,21.0,4,32,28,2,4,0
735,2017-01-21,2017,1,21,5,1,9,19,31,35,36,41,13,171,28.5,9,41,32,5,1,0
736,2017-01-25,2017,1,25,2,0,1,2,16,17,19,34,45,89,14.83,1,34,33,3,3,0
737,2017-01-28,2017,1,28,5,1,10,13,14,18,30,31,49,116,19.33,10,31,21,2,4,0
738,2017-02-01,2017,2,1,2,0,9,14,24,34,48,49,42,178,29.67,9,49,40,2,4,1
739,2017-02-04,2017,2,4,5,1,7,13,19,38,39,41,27,157,26.17,7,41,34,5,1,0
740,2017-02-08,2017,2,8,2,0,5,23,24,28,32,48,46,160,26.67,5,48,43,2,4,1
741,2017-02-11,2017,2,11,5,1,12,16,22,29,31,37,9,147,24.5,12,37,25,3,3,0
742,2017-02-15,2017,2,15,2,0,2,5,15,19,47,48,30,136,22.67,2,48,46,4,2,1
743,2017-02-18,2017,2,18,5,1,8,14,19,31,34,36,6,142,23.67,8,36,28,2,4,1
744,2017-02-22,2017,2,22,2,0,7,12,16,39,46,48,14,168,28.0,7,48,41,2,4,1
745,2017-02-25,2017,2,25,5,1,7,23,27,34,40,45,26,176,29.33,7,45,38,4,2,1
746,2017-03-01,2017,3,1,2,0,4,34,40,41,43,44,6,206,34.33,4,44,40,2,4,1
747,2017-03-04,2017,3,4,5,1,7,9,12,31,38,41,25,138,23.0,7,41,34,4,2,0
748,2017-03-08,2017,3,8,2,0,11,17,19,20,38,44,35,149,24.83,11,44,33,3,3,0
749,2017-03-11,2017,3,11,5,1,9,18,24,27,34,46,1,158,26.33,9,46,37,2,4,0
750,2017-03-15,2017,3,15,2,0,1,13,14,25,31,36,37,120,20.0,1,36,35,4,2,0
751,2017-03-18,2017,3,18,5,1,2,5,7,13,20,49,21,96,16.0,2,49,47,4,2,0
752,2017-03-22,2017,3,22,2,0,5,7,17,22,25,35,49,111,18.5,5,35,30,5,1,0
753,2017-03-25,2017,3,25,5,1,1,5,9,19,24,25,17,83,13.83,1,25,24,5,1,0
754,2017-03-29,2017,3,29,2,0,11,13,18,28,29,31,40,130,21.67,11,31,20,4,2,1
755,2017-04-01,2017,4,1,5,1,3,23,24,31,35,47,2,163,27.17,3,47,44,5,1,1
756,2017-04-05,2017,4,5,2,0,6,8,11,26,35,43,27,129,21.5,6,43,37,3,3,0
757,2017-04-08,2017,4,8,5,1,8,9,22,27,34,44,1,144,24.0,8,44,36,2,4,0
758,2017-04-12,2017,4,12,2,0,6,15,18,20,26,43,37,128,21.33,6,43,37,2,4,0
759,2017-04-15,2017,4,15,5,1,14,23,27,35,38,49,21,186,31.0,14,49,35,4,2,0
760,2017-04-19,2017,4,19,2,0,13,20,26,35,39,48,22,181,30.17,13,48,35,3,3,1
761,2017-04-22,2017,4,22,5,1,3,18,23,26,38,47,22,155,25.83,3,47,44,3,3,1
762,2017-04-26,2017,4,26,2,0,2,9,13,35,47,48,31,154,25.67,2,48,46,4,2,0
763,2017-04-29,2017,4,29,5,1,1,7,22,29,43,47,45,149,24.83,1,47,46,5,1,0
764,2017-05-03,2017,5,3,2,0,9,11,16,24,30,37,49,127,21.17,9,37,28,3,3,0
765,2017-05-06,2017,5,6,5,1,2,4,9,30,32,48,35,125,20.83,2,48,46,1,5,0
766,2017-05-10,2017,5,10,2,0,5,19,26,41,43,44,33,178,29.67,5,44,39,4,2,0
767,2017-05-13,2017,5,13,5,1,8,9,10,22,26,32,17,107,17.83,8,32,24,1,5,0
768,2017-05-17,2017,5,17,2,0,12,25,27,28,32,41,36,165,27.5,12,41,29,3,3,1
769,2017-05-20,2017,5,20,5,1,1,2,12,23,30,41,34,109,18.17,1,41,40,3,3,1
770,2017-05-24,2017,5,24,2,0,1,9,14,16,30,40,39,110,18.33,1,40,39,2,4,0
771,2017-05-27,2017,5,27,5,1,6,10,11,21,39,47,17,134,22.33,6,47,41,4,2,0
772,2017-05-31,2017,5,31,2,0,14,30,34,39,44,48,35,209,34.83,14,48,34,1,5,0
773,2017-06-03,2017,6,3,5,1,6,23,26,33,46,47,22,181,30.17,6,47,41,3,3,1
774,2017-06-07,2017,6,7,2,0,1,3,13,28,32,45,10,122,20.33,1,45,44,4,2,1
775,2017-06-10,2017,6,10,5,1,4,11,12,27,42,47,28,143,23.83,4,47,43,3,3,1
776,2017-06-14,2017,6,14,2,0,11,12,14,19,33,42,27,131,21.83,11,42,31,3,3,0
777,2017-06-17,2017,6,17,5,1,7,15,22,31,34,36,38,145,24.17,7,36,29,3,3,1
778,2017-06-21,2017,6,21,2,0,5,8,9,18,24,44,30,108,18.0,5,44,39,2,4,1
779,2017-06-24,2017,6,24,5,1,15,18,26,31,37,42,49,169,28.17,15,42,27,3,3,0
780,2017-06-28,2017,6,28,2,0,15,20,25,29,30,47,38,166,27.67,15,47,32,4,2,1
781,2017-07-01,2017,7,1,5,1,6,12,16,19,25,26,48,104,17.33,6,26,20,2,4,1
782,2017-07-05,2017,7,5,2,0,16,29,30,32,37,44,10,188,31.33,16,44,28,2,4,1
783,2017-07-08,2017,7,8,5,1,5,33,36,38,40,45,27,197,32.83,5,45,40,3,3,0
784,2017-07-12,2017,7,12,2,0,1,24,31,33,35,40,4,164,27.33,1,40,39,4,2,1
785,2017-07-15,2017,7,15,5,1,13,17,26,30,46,48,34,180,30.0,13,48,35,2,4,1
786,2017-07-19,2017,7,19,2,0,2,5,8,9,16,38,26,78,13.0,2,38,36,2,4,1
787,2017-07-22,2017,7,22,5,1,11,13,27,30,31,45,46,157,26.17,11,45,34,5,1,1
788,2017-07-26,2017,7,26,2,0,9,10,23,24,38,49,5,153,25.5,9,49,40,3,3,0
789,2017-07-29,2017,7,29,5,1,16,19,25,26,35,49,48,170,28.33,16,49,33,4,2,1
790,2017-08-02,2017,8,2,2,0,8,12,29,31,39,49,17,168,28.0,8,49,41,4,2,0
791,2017-08-05,2017,8,5,5,1,6,7,31,33,39,45,14,161,26.83,6,45,39,5,1,1
792,2017-08-09,2017,8,9,2,0,1,10,20,27,32,46,8,136,22.67,1,46,45,2,4,1
793,2017-08-12,2017,8,12,5,1,24,34,38,40,41,46,9,223,37.17,24,46,22,1,5,0
794,2017-08-16,2017,8,16,2,0,22,28,31,39,49,50,21,219,36.5,22,50,28,3,3,0
795,2017-08-19,2017,8,19,5,1,13,23,33,42,47,51,52,209,34.83,13,51,38,5,1,1
796,2017-08-23,2017,8,23,2,0,1,6,7,26,27,40,10,107,17.83,1,40,39,3,3,1
797,2017-08-26,2017,8,26,5,1,1,25,28,34,36,49,14,173,28.83,1,49,48,3,3,1
798,2017-08-30,2017,8,30,2,0,10,32,33,35,39,42,31,191,31.83,10,42,32,3,3,0
799,2017-09-02,2017,9,2,5,1,1,3,4,21,25,30,41,84,14.0,1,30,29,4,2,0
800,2017-09-06,2017,9,6,2,0,1,7,24,29,44,51,23,156,26.0,1,51,50,4,2,0
801,2017-09-09,2017,9,9,5,1,9,16,27,35,37,51,40,175,29.17,9,51,42,5,1,1
802,2017-09-13,2017,9,13,2,0,4,10,19,21,31,49,35,134,22.33,4,49,45,4,2,0
803,2017-09-16,2017,9,16,5,1,2,7,10,33,37,44,11,133,22.17,2,44,42,3,3,0
804,2017-09-20,2017,9,20,2,0,3,7,22,24,34,37,44,127,21.17,3,37,34,3,3,1
805,2017-09-23,2017,9,23,5,1,2,19,31,33,43,52,22,180,30.0,2,52,50,4,2,1
806,2017-09-27,2017,9,27,2,0,8,10,11,16,35,44,52,124,20.67,8,44,36,2,4,1
807,2017-09-30,2017,9,30,5,1,7,11,19,24,25,51,26,137,22.83,7,51,44,5,1,1
808,2017-10-04,2017,10,4,2,0,1,25,27,33,35,38,12,159,26.5,1,38,37,5,1,1
809,2017-10-07,2017,10,7,5,1,18,22,29,32,43,50,25,194,32.33,18,50,32,2,4,0
810,2017-10-11,2017,10,11,2,0,5,15,24,28,42,49,41,163,27.17,5,49,44,3,3,0
811,2017-10-14,2017,10,14,5,1,1,5,21,22,33,44,16,126,21.0,1,44,43,4,2,1
812,2017-10-18,2017,10,18,2,0,9,23,25,38,43,45,18,183,30.5,9,45,36,5,1,1
813,2017-10-21,2017,10,21,5,1,20,23,27,36,37,44,24,187,31.17,20,44,24,3,3,1
814,2017-10-25,2017,10,25,2,0,5,14,18,32,39,52,17,160,26.67,5,52,47,2,4,0
815,2017-10-28,2017,10,28,5,1,1,6,19,38,45,46,50,155,25.83,1,46,45,3,3,1
816,2017-11-01,2017,11,1,2,0,3,12,28,42,43,47,23,175,29.17,3,47,44,3,3,0
817,2017-11-04,2017,11,4,5,1,5,11,25,32,38,49,41,160,26.67,5,49,44,4,2,0
818,2017-11-08,2017,11,8,2,0,1,24,38,39,47,51,31,200,33.33,1,51,50,4,2,0
819,2017-11-11,2017,11,11,5,1,3,21,28,30,46,51,42,179,29.83,3,51,48,3,3,1
820,2017-11-15,2017,11,15,2,0,2,22,36,37,42,49,16,188,31.33,2,49,47,2,4,1
821,2017-11-18,2017,11,18,5,1,3,36,38,39,43,52,47,211,35.17,3,52,49,3,3,0
822,2017-11-22,2017,11,22,2,0,3,16,25,26,29,48,45,147,24.5,3,48,45,3,3,0
823,2017-11-25,2017,11,25,5,1,2,7,25,35,44,51,29,164,27.33,2,51,49,4,2,0
824,2017-11-29,2017,11,29,2,0,20,26,32,34,39,41,10,192,32.0,20,41,21,2,4,1
825,2017-12-02,2017,12,2,5,1,13,24,25,43,50,51,28,206,34.33,13,51,38,4,2,1
826,2017-12-06,2017,12,6,2,0,5,7,17,18,24,49,39,120,20.0,5,49,44,4,2,0
827,2017-12-09,2017,12,9,5,1,18,23,26,34,38,41,7,180,30.0,18,41,23,2,4,0
828,2017-12-13,2017,12,13,2,0,8,12,25,32,35,47,52,159,26.5,8,47,39,3,3,1
829,2017-12-16,2017,12,16,5,1,2,11,17,18,22,42,23,112,18.67,2,42,40,2,4,0
830,2017-12-20,2017,12,20,2,0,10,14,16,27,29,52,4,148,24.67,10,52,42,2,4,1
831,2017-12-23,2017,12,23,5,1,6,8,19,24,39,41,12,137,22.83,6,41,35,3,3,1
832,2017-12-27,2017,12,27,2,0,3,10,20,42,48,49,31,172,28.67,3,49,46,2,4,0
833,2017-12-30,2017,12,30,5,1,2,23,28,33,34,46,3,166,27.67,2,46,44,2,4,0
834,2018-01-03,2018,1,3,2,0,3,24,31,35,37,43,39,173,28.83,3,43,40,5,1,0
835,2018-01-06,2018,1,6,5,1,31,33,34,39,43,44,38,224,37.33,31,44,13,4,2,1
836,2018-01-10,2018,1,10,2,0,23,31,41,45,47,49,19,236,39.33,23,49,26,6,0,0
837,2018-01-13,2018,1,13,5,1,10,27,29,46,48,50,32,210,35.0,10,50,40,2,4,1
838,2018-01-17,2018,1,17,2,0,12,18,24,28,30,41,47,153,25.5,12,41,29,1,5,0
839,2018-01-20,2018,1,20,5,1,5,27,28,35,50,52,39,197,32.83,5,52,47,3,3,0
840,2018-01-24,2018,1,24,2,0,3,18,19,24,32,40,25,136,22.67,3,40,37,2,4,0
841,2018-01-27,2018,1,27,5,1,6,7,15,21,24,48,16,121,20.17,6,48,42,3,3,1
842,2018-01-31,2018,1,31,2,0,18,19,26,34,40,42,1,179,29.83,18,42,24,1,5,0
843,2018-02-03,2018,2,3,5,1,6,7,16,21,44,50,28,144,24.0,6,50,44,2,4,1
844,2018-02-07,2018,2,7,2,0,6,19,47,49,50,52,16,223,37.17,6,52,46,3,3,1
845,2018-02-10,2018,2,10,5,1,1,16,17,18,41,52,38,145,24.17,1,52,51,3,3,1
846,2018-02-14,2018,2,14,2,0,2,18,28,40,45,46,22,179,29.83,2,46,44,1,5,1
847,2018-02-17,2018,2,17,5,1,9,21,27,32,33,38,11,160,26.67,9,38,29,4,2,0
848,2018-02-21,2018,2,21,2,0,1,14,17,26,36,49,32,143,23.83,1,49,48,3,3,1
849,2018-02-24,2018,2,24,5,1,6,11,12,15,29,31,8,104,17.33,6,31,25,4,2,1
850,2018-02-28,2018,2,28,2,0,5,9,28,30,39,51,47,162,27.0,5,51,46,4,2,0
851,2018-03-03,2018,3,3,5,1,8,19,22,36,40,42,30,167,27.83,8,42,34,1,5,1
852,2018-03-07,2018,3,7,2,0,17,24,30,32,38,52,37,193,32.17,17,52,35,1,5,0
853,2018-03-10,2018,3,10,5,1,2,3,5,11,17,23,31,61,10.17,2,23,21,5,1,0
854,2018-03-14,2018,3,14,2,0,5,8,14,23,41,47,34,138,23.0,5,47,42,4,2,1
855,2018-03-17,2018,3,17,5,1,6,21,26,40,42,44,49,179,29.83,6,44,38,1,5,0
856,2018-03-21,2018,3,21,2,0,1,11,19,32,49,50,22,162,27.0,1,50,49,4,2,1
857,2018-03-24,2018,3,24,5,1,1,3,12,24,31,49,52,120,20.0,1,49,48,4,2,1
858,2018-03-28,2018,3,28,2,0,1,6,17,18,22,26,30,90,15.0,1,26,25,2,4,1
859,2018-03-31,2018,3,31,5,1,18,21,23,31,35,49,42,177,29.5,18,49,31,5,1,1
860,2018-04-04,2018,4,4,2,0,17,28,30,36,50,52,31,213,35.5,17,52,35,1,5,0
861,2018-04-07,2018,4,7,5,1,3,10,11,13,28,35,16,100,16.67,3,35,32,4,2,1
862,2018-04-11,2018,4,11,2,0,2,10,24,33,35,46,5,150,25.0,2,46,44,2,4,0
863,2018-04-14,2018,4,14,5,1,18,26,31,36,40,46,22,197,32.83,18,46,28,1,5,1
864,2018-04-18,2018,4,18,2,0,10,12,13,32,39,50,42,156,26.0,10,50,40,2,4,1
865,2018-04-21,2018,4,21,5,1,13,15,21,26,35,49,23,159,26.5,13,49,36,5,1,0
866,2018-04-25,2018,4,25,2,0,7,13,37,43,44,51,10,195,32.5,7,51,44,5,1,1
867,2018-04-28,2018,4,28,5,1,5,12,13,14,25,28,4,97,16.17,5,28,23,3,3,1
868,2018-05-02,2018,5,2,2,0,5,15,22,36,47,49,52,174,29.0,5,49,44,4,2,1
869,2018-05-05,2018,5,5,5,1,11,19,35,45,49,50,6,209,34.83,11,50,39,5,1,1
870,2018-05-09,2018,5,9,2,0,5,10,11,12,36,48,14,122,20.33,5,48,43,2,4,1
871,2018-05-12,2018,5,12,5,1,6,19,26,28,38,39,17,156,26.0,6,39,33,2,4,0
872,2018-05-16,2018,5,16,2,0,1,2,22,31,36,48,45,140,23.33,1,48,47,2,4,0
873,2018-05-19,2018,5,19,5,1,9,35,38,40,46,48,30,216,36.0,9,48,39,2,4,1
874,2018-05-23,2018,5,23,2,0,5,11,23,24,31,49,25,143,23.83,5,49,44,5,1,0
875,2018-05-26,2018,5,26,5,1,8,13,14,16,28,45,36,124,20.67,8,45,37,2,4,1
876,2018-05-30,2018,5,30,2,0,3,6,7,14,30,46,5,106,17.67,3,46,43,2,4,0
877,2018-06-02,2018,6,2,5,1,8,12,14,16,29,47,19,126,21.0,8,47,39,2,4,0
878,2018-06-06,2018,6,6,2,0,2,6,10,15,27,48,43,108,18.0,2,48,46,2,4,0
879,2018-06-09,2018,6,9,5,1,25,27,30,48,50,52,6,232,38.67,25,52,27,2,4,1
880,2018-06-13,2018,6,13,2,0,19,35,36,42,45,47,2,224,37.33,19,47,28,4,2,1
881,2018-06-16,2018,6,16,5,1,17,22,44,45,46,48,31,222,37.0,17,48,31,2,4,0
882,2018-06-20,2018,6,20,2,0,4,14,22,27,30,46,7,143,23.83,4,46,42,1,5,0
883,2018-06-23,2018,6,23,5,1,1,10,13,35,41,42,15,142,23.67,1,42,41,4,2,0
884,2018-06-27,2018,6,27,2,0,2,4,6,37,39,40,52,128,21.33,2,40,38,2,4,1
885,2018-06-30,2018,6,30,5,1,12,17,29,42,43,44,16,187,31.17,12,44,32,3,3,1
886,2018-07-04,2018,7,4,2,0,1,6,7,17,31,36,50,98,16.33,1,36,35,4,2,1
887,2018-07-07,2018,7,7,5,1,6,16,27,28,34,42,43,153,25.5,6,42,36,1,5,0
888,2018-07-11,2018,7,11,2,0,5,6,17,30,37,40,39,135,22.5,5,40,35,3,3,0
889,2018-07-14,2018,7,14,5,1,4,8,13,18,30,42,5,115,19.17,4,42,38,1,5,0
890,2018-07-18,2018,7,18,2,0,8,12,17,21,26,46,11,130,21.67,8,46,38,2,4,0
891,2018-07-21,2018,7,21,5,1,5,13,14,16,17,19,3,84,14.0,5,19,14,4,2,0
892,2018-07-25,2018,7,25,2,0,2,6,18,23,27,48,43,124,20.67,2,48,46,2,4,0
893,2018-07-28,2018,7,28,5,1,23,27,29,33,45,46,4,203,33.83,23,46,23,5,1,1
894,2018-08-01,2018,8,1,2,0,2,8,18,24,27,49,10,128,21.33,2,49,47,2,4,1
895,2018-08-04,2018,8,4,5,1,2,14,21,28,36,42,47,143,23.83,2,42,40,1,5,0
896,2018-08-08,2018,8,8,2,0,11,13,14,20,41,48,34,147,24.5,11,48,37,3,3,1
897,2018-08-11,2018,8,11,5,1,17,24,25,36,37,51,29,190,31.67,17,51,34,4,2,0
898,2018-08-15,2018,8,15,2,0,5,13,16,25,36,50,33,145,24.17,5,50,45,3,3,0
899,2018-08-18,2018,8,18,5,1,1,18,29,31,35,36,46,150,25.0,1,36,35,4,2,1
900,2018-08-22,2018,8,22,2,0,2,3,21,23,41,46,9,136,22.67,2,46,44,4,2,0
901,2018-08-25,2018,8,25,5,1,9,10,14,18,20,23,11,94,15.67,9,23,14,2,4,0
902,2018-08-29,2018,8,29,2,0,2,10,14,28,29,46,41,129,21.5,2,46,44,1,5,0
903,2018-09-01,2018,9,1,5,1,1,11,14,25,26,29,20,106,17.67,1,29,28,4,2,1
904,2018-09-05,2018,9,5,2,0,1,7,15,22,29,31,6,105,17.5,1,31,30,5,1,1
905,2018-09-08,2018,9,8,5,1,6,14,25,40,43,52,16,180,30.0,6,52,46,2,4,1
906,2018-09-12,2018,9,12,2,0,4,9,13,18,33,39,29,116,19.33,4,39,35,4,2,0
907,2018-09-15,2018,9,15,5,1,4,9,16,26,41,43,14,139,23.17,4,43,39,3,3,1
908,2018-09-19,2018,9,19,2,0,7,14,19,21,29,39,26,129,21.5,7,39,32,5,1,1
909,2018-09-22,2018,9,22,5,1,4,30,36,43,44,52,38,209,34.83,4,52,48,1,5,1
910,2018-09-26,2018,9,26,2,0,1,3,29,37,40,41,25,151,25.17,1,41,40,5,1,0
911,2018-09-29,2018,9,29,5,1,20,23,26,41,42,51,16,203,33.83,20,51,31,3,3,1
912,2018-10-03,2018,10,3,2,0,3,35,37,43,44,49,1,211,35.17,3,49,46,5,1,0
913,2018-10-06,2018,10,6,5,1,3,19,27,40,41,44,31,174,29.0,3,44,41,4,2,0
914,2018-10-10,2018,10,10,2,0,14,22,32,47,49,51,46,215,35.83,14,51,37,3,3,1
915,2018-10-13,2018,10,13,5,1,15,22,23,29,47,49,37,185,30.83,15,49,34,5,1,0
916,2018-10-17,2018,10,17,2,0,11,17,38,40,44,48,29,198,33.0,11,48,37,2,4,0
917,2018-10-20,2018,10,20,5,1,8,9,18,39,45,47,36,166,27.67,8,47,39,4,2,1
918,2018-10-24,2018,10,24,2,0,2,18,20,22,32,34,46,128,21.33,2,34,32,0,6,1
919,2018-10-27,2018,10,27,5,1,9,13,16,33,41,44,11,156,26.0,9,44,35,4,2,0
920,2018-10-31,2018,10,31,2,0,6,17,18,23,33,47,16,144,24.0,6,47,41,4,2,1
921,2018-11-03,2018,11,3,5,1,11,33,37,41,45,49,26,216,36.0,11,49,38,6,0,1
922,2018-11-07,2018,11,7,2,0,2,8,29,35,42,47,18,163,27.17,2,47,45,3,3,1
923,2018-11-10,2018,11,10,5,1,5,8,9,33,41,42,20,138,23.0,5,42,37,4,2,1
924,2018-11-14,2018,11,14,2,0,12,18,26,27,32,36,33,151,25.17,12,36,24,1,5,0
925,2018-11-17,2018,11,17,5,1,6,14,18,28,33,44,32,143,23.83,6,44,38,1,5,1
926,2018-11-21,2018,11,21,2,0,10,22,27,36,46,52,39,193,32.17,10,52,42,1,5,0
927,2018-11-24,2018,11,24,5,1,6,11,22,27,34,51,19,151,25.17,6,51,45,3,3,0
928,2018-11-28,2018,11,28,2,0,2,4,20,38,40,45,24,149,24.83,2,45,43,1,5,1
929,2018-12-01,2018,12,1,5,1,1,16,19,29,45,49,10,159,26.5,1,49,48,5,1,1
930,2018-12-05,2018,12,5,2,0,2,8,11,25,26,28,44,100,16.67,2,28,26,2,4,1
931,2018-12-08,2018,12,8,5,1,3,7,12,21,27,29,39,99,16.5,3,29,26,5,1,0
