day,date,year,month,day_of_month,day_of_week,is_weekend,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,powerball,sum_main_balls,mean_main_balls,min_main_ball,max_main_ball,range_main_balls,odd_count,even_count,is_powerball_even
277,2012-08-29,2012,8,29,2,0,3,12,15,24,36,43,21,133,22.17,3,43,40,3,3,0
278,2012-09-01,2012,9,1,5,1,9,17,24,26,35,41,11,152,25.33,9,41,32,4,2,0
279,2012-09-05,2012,9,5,2,0,4,6,7,16,35,49,26,117,19.5,4,49,45,3,3,1
280,2012-09-08,2012,9,8,5,1,5,12,17,29,39,42,27,144,24.0,5,42,37,4,2,0
281,2012-09-12,2012,9,12,2,0,15,18,27,28,29,46,13,163,27.17,15,46,31,3,3,0
282,2012-09-15,2012,9,15,5,1,12,15,24,33,40,47,30,171,28.5,12,47,35,3,3,1
283,2012-09-19,2012,9,19,2,0,1,12,35,46,47,49,13,190,31.67,1,49,48,4,2,0
284,2012-09-22,2012,9,22,5,1,1,4,5,13,18,43,22,84,14.0,1,43,42,4,2,1
285,2012-09-26,2012,9,26,2,0,1,6,17,20,23,29,47,96,16.0,1,29,28,4,2,0
286,2012-09-29,2012,9,29,5,1,7,24,34,35,39,46,44,185,30.83,7,46,39,3,3,1
287,2012-10-03,2012,10,3,2,0,8,12,25,33,35,36,30,149,24.83,8,36,28,3,3,1
288,2012-10-06,2012,10,6,5,1,7,13,21,27,36,39,24,143,23.83,7,39,32,5,1,1
289,2012-10-10,2012,10,10,2,0,8,13,14,25,35,37,20,132,22.0,8,37,29,4,2,1
290,2012-10-13,2012,10,13,5,1,10,11,16,18,24,37,19,116,19.33,10,37,27,2,4,0
291,2012-10-17,2012,10,17,2,0,6,14,20,26,30,42,44,138,23.0,6,42,36,0,6,1
292,2012-10-20,2012,10,20,5,1,1,2,22,31,40,44,17,140,23.33,1,44,43,2,4,0
293,2012-10-24,2012,10,24,2,0,7,16,20,24,33,41,29,141,23.5,7,41,34,3,3,0
294,2012-10-27,2012,10,27,5,1,1,3,6,7,10,38,19,65,10.83,1,38,37,3,3,0
295,2012-10-31,2012,10,31,2,0,3,5,13,14,25,27,19,87,14.5,3,27,24,5,1,0
296,2012-11-03,2012,11,3,5,1,7,8,20,28,41,42,14,146,24.33,7,42,35,2,4,1
297,2012-11-07,2012,11,7,2,0,3,8,17,18,37,44,12,127,21.17,3,44,41,3,3,1
298,2012-11-10,2012,11,10,5,1,19,29,33,35,39,45,34,200,33.33,19,45,26,6,0,1
299,2012-11-14,2012,11,14,2,0,1,13,28,31,40,49,37,162,27.0,1,49,48,4,2,0
300,2012-11-17,2012,11,17,5,1,3,4,8,21,33,34,22,103,17.17,3,34,31,3,3,1
301,2012-11-21,2012,11,21,2,0,18,21,28,30,35,39,19,171,28.5,18,39,21,3,3,0
302,2012-11-24,2012,11,24,5,1,7,11,13,21,22,24,17,98,16.33,7,24,17,4,2,0
303,2012-11-28,2012,11,28,2,0,2,10,28,29,35,43,41,147,24.5,2,43,41,3,3,0
304,2012-12-01,2012,12,1,5,1,6,11,16,30,33,35,39,131,21.83,6,35,29,3,3,0
305,2012-12-05,2012,12,5,2,0,5,8,14,30,32,40,11,129,21.5,5,40,35,1,5,0
306,2012-12-08,2012,12,8,5,1,2,11,14,19,43,47,45,136,22.67,2,47,45,4,2,0
307,2012-12-12,2012,12,12,2,0,3,7,16,19,28,43,20,116,19.33,3,43,40,4,2,1
308,2012-12-15,2012,12,15,5,1,2,17,32,39,47,49,48,186,31.0,2,49,47,4,2,1
309,2012-12-19,2012,12,19,2,0,14,33,34,42,47,48,5,218,36.33,14,48,34,2,4,0
310,2012-12-22,2012,12,22,5,1,4,15,24,34,40,47,2,164,27.33,4,47,43,2,4,1
311,2012-12-26,2012,12,26,2,0,6,17,27,41,46,48,29,185,30.83,6,48,42,3,3,0
312,2012-12-29,2012,12,29,5,1,1,3,8,17,20,22,29,71,11.83,1,22,21,3,3,0
313,2013-01-02,2013,1,2,2,0,5,10,19,24,32,39,40,129,21.5,5,39,34,3,3,1
314,2013-01-05,2013,1,5,5,1,8,9,10,14,15,27,42,83,13.83,8,27,19,3,3,1
315,2013-01-09,2013,1,9,2,0,14,16,17,18,21,29,2,115,19.17,14,29,15,3,3,1
316,2013-01-12,2013,1,12,5,1,2,5,21,30,36,41,44,135,22.5,2,41,39,3,3,1
317,2013-01-16,2013,1,16,2,0,3,12,21,26,33,46,32,141,23.5,3,46,43,3,3,1
318,2013-01-19,2013,1,19,5,1,7,15,23,28,29,49,2,151,25.17,7,49,42,5,1,1
319,2013-01-23,2013,1,23,2,0,2,3,25,35,38,39,44,142,23.67,2,39,37,4,2,1
320,2013-01-26,2013,1,26,5,1,4,31,36,39,41,44,12,195,32.5,4,44,40,3,3,1
321,2013-01-30,2013,1,30,2,0,3,4,16,26,28,30,37,107,17.83,3,30,27,1,5,0
322,2013-02-02,2013,2,2,5,1,1,10,16,27,30,35,18,119,19.83,1,35,34,3,3,1
323,2013-02-06,2013,2,6,2,0,8,18,20,25,37,38,5,146,24.33,8,38,30,2,4,0
324,2013-02-09,2013,2,9,5,1,12,26,27,30,33,39,5,167,27.83,12,39,27,3,3,0
325,2013-02-13,2013,2,13,2,0,2,15,43,46,47,48,12,201,33.5,2,48,46,3,3,1
326,2013-02-16,2013,2,16,5,1,8,17,18,23,43,45,44,154,25.67,8,45,37,4,2,1
327,2013-02-20,2013,2,20,2,0,11,15,21,22,30,34,36,133,22.17,11,34,23,3,3,1
328,2013-02-23,2013,2,23,5,1,4,9,21,39,41,43,26,157,26.17,4,43,39,5,1,1
329,2013-02-27,2013,2,27,2,0,17,21,22,30,31,32,23,153,25.5,17,32,15,3,3,0
330,2013-03-02,2013,3,2,5,1,1,14,15,39,41,43,26,153,25.5,1,43,42,5,1,1
331,2013-03-06,2013,3,6,2,0,28,29,40,42,43,44,12,226,37.67,28,44,16,2,4,1
332,2013-03-09,2013,3,9,5,1,2,16,33,38,42,48,7,179,29.83,2,48,46,1,5,0
333,2013-03-13,2013,3,13,2,0,12,27,30,33,37,40,47,179,29.83,12,40,28,3,3,0
334,2013-03-16,2013,3,16,5,1,2,12,23,29,37,47,40,150,25.0,2,47,45,4,2,1
335,2013-03-20,2013,3,20,2,0,5,18,28,31,43,49,30,174,29.0,5,49,44,4,2,1
336,2013-03-23,2013,3,23,5,1,5,17,26,29,34,44,13,155,25.83,5,44,39,3,3,0
337,2013-03-27,2013,3,27,2,0,6,17,19,31,42,43,9,158,26.33,6,43,37,4,2,0
338,2013-03-30,2013,3,30,5,1,17,30,33,36,38,46,1,200,33.33,17,46,29,2,4,0
339,2013-04-03,2013,4,3,2,0,6,16,31,32,42,48,5,175,29.17,6,48,42,1,5,0
340,2013-04-06,2013,4,6,5,1,12,22,24,25,36,37,44,156,26.0,12,37,25,2,4,1
341,2013-04-10,2013,4,10,2,0,3,10,12,41,46,47,27,159,26.5,3,47,44,3,3,0
342,2013-04-13,2013,4,13,5,1,10,12,35,40,47,49,19,193,32.17,10,49,39,3,3,0
343,2013-04-17,2013,4,17,2,0,1,8,27,33,45,49,5,163,27.17,1,49,48,5,1,0
344,2013-04-20,2013,4,20,5,1,3,8,12,14,23,37,21,97,16.17,3,37,34,3,3,0
345,2013-04-24,2013,4,24,2,0,1,3,4,23,40,42,8,113,18.83,1,42,41,3,3,1
346,2013-04-27,2013,4,27,5,1,4,5,9,11,39,40,22,108,18.0,4,40,36,4,2,1
347,2013-05-01,2013,5,1,2,0,9,32,33,39,46,47,42,206,34.33,9,47,38,4,2,1
348,2013-05-04,2013,5,4,5,1,2,39,40,45,46,47,15,219,36.5,2,47,45,3,3,0
349,2013-05-08,2013,5,8,2,0,5,7,8,21,28,40,26,109,18.17,5,40,35,3,3,1
350,2013-05-11,2013,5,11,5,1,8,26,27,35,42,49,39,187,31.17,8,49,41,3,3,0
351,2013-05-15,2013,5,15,2,0,8,21,26,27,34,43,10,159,26.5,8,43,35,3,3,1
352,2013-05-18,2013,5,18,5,1,3,8,15,19,35,45,23,125,20.83,3,45,42,5,1,0
353,2013-05-22,2013,5,22,2,0,10,18,19,22,30,48,34,147,24.5,10,48,38,1,5,1
354,2013-05-25,2013,5,25,5,1,15,23,27,36,41,49,37,191,31.83,15,49,34,5,1,0
355,2013-05-29,2013,5,29,2,0,14,15,24,33,34,36,11,156,26.0,14,36,22,2,4,0
356,2013-06-01,2013,6,1,5,1,1,5,12,17,22,43,36,100,16.67,1,43,42,4,2,1
357,2013-06-05,2013,6,5,2,0,5,13,17,27,47,49,34,158,26.33,5,49,44,6,0,1
358,2013-06-08,2013,6,8,5,1,2,18,23,36,43,46,9,168,28.0,2,46,44,2,4,0
359,2013-06-12,2013,6,12,2,0,11,19,23,27,33,37,32,150,25.0,11,37,26,6,0,1
360,2013-06-15,2013,6,15,5,1,5,16,17,44,45,48,19,175,29.17,5,48,43,3,3,0
361,2013-06-19,2013,6,19,2,0,20,23,26,27,44,46,5,186,31.0,20,46,26,2,4,0
362,2013-06-22,2013,6,22,5,1,3,21,36,42,43,44,27,189,31.5,3,44,41,3,3,0
363,2013-06-26,2013,6,26,2,0,1,9,11,12,13,25,42,71,11.83,1,25,24,5,1,1
364,2013-06-29,2013,6,29,5,1,6,8,17,28,37,49,27,145,24.17,6,49,43,3,3,0
365,2013-07-03,2013,7,3,2,0,2,6,26,29,31,37,24,131,21.83,2,37,35,3,3,1
366,2013-07-06,2013,7,6,5,1,8,11,25,29,40,48,28,161,26.83,8,48,40,3,3,1
367,2013-07-10,2013,7,10,2,0,8,9,21,37,40,46,20,161,26.83,8,46,38,3,3,1
368,2013-07-13,2013,7,13,5,1,8,19,25,32,45,48,36,177,29.5,8,48,40,3,3,1
369,2013-07-17,2013,7,17,2,0,2,5,10,15,41,49,24,122,20.33,2,49,47,4,2,1
370,2013-07-20,2013,7,20,5,1,3,17,26,35,43,45,8,169,28.17,3,45,42,5,1,1
371,2013-07-24,2013,7,24,2,0,12,21,22,24,34,41,49,154,25.67,12,41,29,2,4,0
372,2013-07-27,2013,7,27,5,1,18,19,31,34,40,42,48,184,30.67,18,42,24,2,4,1
373,2013-07-31,2013,7,31,2,0,6,9,18,22,28,39,7,122,20.33,6,39,33,2,4,0
374,2013-08-03,2013,8,3,5,1,13,18,19,23,33,41,4,147,24.5,13,41,28,5,1,1
375,2013-08-07,2013,8,7,2,0,7,12,21,34,41,46,23,161,26.83,7,46,39,3,3,0
376,2013-08-10,2013,8,10,5,1,4,5,16,18,38,40,35,121,20.17,4,40,36,1,5,0
377,2013-08-14,2013,8,14,2,0,18,20,21,32,33,35,6,159,26.5,18,35,17,3,3,1
378,2013-08-17,2013,8,17,5,1,15,16,17,25,26,46,13,145,24.17,15,46,31,3,3,0
379,2013-08-21,2013,8,21,2,0,11,22,23,25,34,41,29,156,26.0,11,41,30,4,2,0
380,2013-08-24,2013,8,24,5,1,5,22,29,35,36,40,21,167,27.83,5,40,35,3,3,0
381,2013-08-28,2013,8,28,2,0,17,21,23,29,30,45,44,165,27.5,17,45,28,5,1,1
382,2013-08-31,2013,8,31,5,1,7,8,19,24,41,47,1,146,24.33,7,47,40,4,2,0
383,2013-09-04,2013,9,4,2,0,5,10,17,18,23,40,8,113,18.83,5,40,35,3,3,1
384,2013-09-07,2013,9,7,5,1,13,16,29,35,41,43,10,177,29.5,13,43,30,5,1,1
385,2013-09-11,2013,9,11,2,0,1,2,3,30,33,45,36,114,19.0,1,45,44,4,2,1
386,2013-09-14,2013,9,14,5,1,7,14,16,27,42,43,10,149,24.83,7,43,36,3,3,1
387,2013-09-18,2013,9,18,2,0,3,9,11,25,35,36,2,119,19.83,3,36,33,5,1,1
388,2013-09-21,2013,9,21,5,1,1,20,33,37,41,45,44,177,29.5,1,45,44,5,1,1
389,2013-09-25,2013,9,25,2,0,3,9,13,20,40,41,15,126,21.0,3,41,38,4,2,0
390,2013-09-28,2013,9,28,5,1,1,9,15,16,21,47,18,109,18.17,1,47,46,5,1,1
391,2013-10-02,2013,10,2,2,0,3,8,22,27,30,45,6,135,22.5,3,45,42,3,3,1
392,2013-10-05,2013,10,5,5,1,2,8,14,15,41,43,25,123,20.5,2,43,41,3,3,0
393,2013-10-09,2013,10,9,2,0,7,8,12,24,30,39,48,120,20.0,7,39,32,2,4,1
394,2013-10-12,2013,10,12,5,1,6,17,21,31,34,36,47,145,24.17,6,36,30,3,3,0
395,2013-10-16,2013,10,16,2,0,27,31,39,40,44,45,15,226,37.67,27,45,18,4,2,0
396,2013-10-19,2013,10,19,5,1,1,19,33,38,41,42,13,174,29.0,1,42,41,4,2,0
397,2013-10-23,2013,10,23,2,0,14,18,24,31,38,46,2,171,28.5,14,46,32,1,5,1
398,2013-10-26,2013,10,26,5,1,7,9,10,11,46,48,34,131,21.83,7,48,41,3,3,1
399,2013-10-30,2013,10,30,2,0,11,23,25,28,34,37,26,158,26.33,11,37,26,4,2,1
