day,date,year,month,day_of_month,day_of_week,is_weekend,ball_1,ball_2,ball_3,ball_4,ball_5,powerball,sum_main_balls,mean_main_balls,min_main_ball,max_main_ball,range_main_balls,odd_count,even_count,is_powerball_even
722,,2022,,,,0,19,30,32,40,47,20,168,33.6,19,47,28,2,3,1
723,,2022,,,,0,23,44,45,47,50,1,209,41.8,23,50,27,3,2,0
724,,2022,,,,0,11,14,23,26,38,6,112,22.4,11,38,27,2,3,1
725,,2022,,,,0,7,9,32,39,41,19,128,25.6,7,41,34,4,1,0
726,,2022,,,,0,2,10,36,47,49,16,144,28.8,2,49,47,2,3,1
727,,2022,,,,0,1,7,8,12,47,7,75,15.0,1,47,46,3,2,0
728,,2022,,,,0,3,5,10,16,29,12,63,12.6,3,29,26,3,2,1
729,,2022,,,,0,19,32,45,49,50,8,195,39.0,19,50,31,3,2,1
730,,2022,,,,0,4,11,18,19,28,4,80,16.0,4,28,24,2,3,1
731,,2022,,,,0,1,10,16,27,34,18,88,17.6,1,34,33,2,3,1
732,,2022,,,,0,18,22,23,36,45,3,144,28.8,18,45,27,2,3,0
733,,2022,,,,0,7,15,22,34,42,20,120,24.0,7,42,35,2,3,1
734,,2022,,,,0,1,2,17,25,29,4,74,14.8,1,29,28,4,1,1
735,,2022,,,,0,10,17,19,30,35,4,111,22.2,10,35,25,3,2,1
736,,2022,,,,0,25,32,35,41,49,16,182,36.4,25,49,24,4,1,1
737,,2022,,,,0,2,11,23,27,39,12,102,20.4,2,39,37,4,1,1
738,,2023,,,,0,2,6,20,29,32,6,89,17.8,2,32,30,1,4,1
739,,2023,,,,0,1,15,30,39,50,1,135,27.0,1,50,49,3,2,0
740,,2023,,,,0,6,12,25,33,42,2,118,23.6,6,42,36,2,3,1
741,,2023,,,,0,7,8,33,41,43,5,132,26.4,7,43,36,4,1,0
742,,2023,,,,0,5,6,27,37,41,4,116,23.2,5,41,36,4,1,1
743,,2023,,,,0,25,34,36,47,50,14,192,38.4,25,50,25,2,3,1
744,,2023,,,,0,14,28,39,42,46,18,169,33.8,14,46,32,1,4,1
745,,2023,,,,0,8,15,37,46,49,3,155,31.0,8,49,41,3,2,0
746,,2023,,,,0,20,31,34,49,50,16,184,36.8,20,50,30,2,3,1
747,,2023,,,,0,4,9,12,27,37,15,89,17.8,4,37,33,3,2,0
748,,2023,,,,0,11,19,20,41,47,20,138,27.6,11,47,36,4,1,1
749,,2023,,,,0,5,14,19,24,26,13,88,17.6,5,26,21,2,3,0
750,,2023,,,,0,12,20,36,39,50,4,157,31.4,12,50,38,1,4,1
751,,2023,,,,0,14,22,23,36,50,9,145,29.0,14,50,36,1,4,0
752,,2023,,,,0,3,9,14,16,41,13,83,16.6,3,41,38,3,2,0
753,,2023,,,,0,1,6,7,28,34,17,76,15.2,1,34,33,2,3,0
754,,2023,,,,0,10,13,25,27,30,13,105,21.0,10,30,20,3,2,0
755,,2023,,,,0,2,5,14,18,43,7,82,16.4,2,43,41,2,3,0
756,,2023,,,,0,3,21,29,47,48,7,148,29.6,3,48,45,4,1,0
757,,2023,,,,0,12,33,37,47,50,13,179,35.8,12,50,38,3,2,0
758,,2023,,,,0,8,14,41,49,50,2,162,32.4,8,50,42,2,3,1
759,,2023,,,,0,18,23,25,26,31,7,123,24.6,18,31,13,3,2,0
760,,2023,,,,0,35,38,40,44,46,1,203,40.6,35,46,11,1,4,0
761,,2023,,,,0,1,11,24,39,42,9,117,23.4,1,42,41,3,2,0
762,,2023,,,,0,26,31,32,43,46,17,178,35.6,26,46,20,2,3,0
763,,2023,,,,0,1,4,18,26,43,9,92,18.4,1,43,42,2,3,0
764,,2023,,,,0,16,34,37,48,49,9,184,36.8,16,49,33,2,3,0
765,,2023,,,,0,8,9,20,34,43,16,114,22.8,8,43,35,2,3,1
766,,2023,,,,0,4,25,29,36,42,7,136,27.2,4,42,38,2,3,0
767,,2023,,,,0,15,18,30,36,37,16,136,27.2,15,37,22,2,3,1
768,,2023,,,,0,1,12,30,31,37,16,111,22.2,1,37,36,3,2,1
769,,2023,,,,0,10,20,23,42,50,11,145,29.0,10,50,40,1,4,0
770,,2023,,,,0,10,18,22,33,49,11,132,26.4,10,49,39,2,3,0
771,,2023,,,,0,10,12,13,15,37,20,87,17.4,10,37,27,3,2,1
772,,2023,,,,0,3,16,18,19,44,1,100,20.0,3,44,41,2,3,0
773,,2023,,,,0,11,21,22,41,44,12,139,27.8,11,44,33,3,2,1
774,,2023,,,,0,4,26,37,40,45,4,152,30.4,4,45,41,2,3,1
775,,2023,,,,0,13,15,35,36,37,13,136,27.2,13,37,24,4,1,0
776,,2023,,,,0,1,6,35,39,43,11,124,24.8,1,43,42,4,1,0
777,,2023,,,,0,5,9,15,28,29,18,86,17.2,5,29,24,4,1,1
778,,2023,,,,0,3,18,19,30,33,15,103,20.6,3,33,30,3,2,0
779,,2023,,,,0,2,12,28,33,44,2,119,23.8,2,44,42,1,4,1
780,,2023,,,,0,4,5,27,34,42,4,112,22.4,4,42,38,2,3,1
781,,2023,,,,0,3,11,12,28,33,12,87,17.4,3,33,30,3,2,1
782,,2023,,,,0,6,12,25,27,34,18,104,20.8,6,34,28,2,3,1
783,,2023,,,,0,15,30,37,39,48,5,169,33.8,15,48,33,3,2,0
784,,2023,,,,0,23,30,33,38,49,20,173,34.6,23,49,26,3,2,1
785,,2023,,,,0,2,3,18,32,43,3,98,19.6,2,43,41,2,3,0
786,,2023,,,,0,4,21,26,38,40,20,129,25.8,4,40,36,1,4,1
787,,2023,,,,0,6,12,13,27,34,20,92,18.4,6,34,28,2,3,1
788,,2023,,,,0,20,22,25,39,45,12,151,30.2,20,45,25,3,2,1
789,,2023,,,,0,13,21,22,35,46,9,137,27.4,13,46,33,3,2,0
790,,2023,,,,0,5,25,30,49,50,3,159,31.8,5,50,45,3,2,0
791,,2023,,,,0,1,28,33,34,38,11,134,26.8,1,38,37,2,3,0
792,,2023,,,,0,5,29,39,43,45,19,161,32.2,5,45,40,5,0,0
793,,2023,,,,0,5,17,30,44,45,20,141,28.2,5,45,40,3,2,1
794,,2023,,,,0,6,21,25,27,50,8,129,25.8,6,50,44,3,2,1
795,,2023,,,,0,13,20,34,36,44,8,147,29.4,13,44,31,1,4,1
796,,2023,,,,0,4,9,10,22,44,7,89,17.8,4,44,40,1,4,0
797,,2023,,,,0,3,22,25,31,34,7,115,23.0,3,34,31,3,2,0
798,,2023,,,,0,2,12,30,35,44,12,123,24.6,2,44,42,1,4,1
799,,2023,,,,0,1,4,20,23,42,17,90,18.0,1,42,41,2,3,0
800,,2023,,,,0,3,15,20,23,44,5,105,21.0,3,44,41,3,2,0
801,,2023,,,,0,28,39,44,48,49,8,208,41.6,28,49,21,2,3,1
802,,2023,,,,0,4,6,12,18,28,3,68,13.6,4,28,24,0,5,0
803,,2023,,,,0,1,11,12,33,34,13,91,18.2,1,34,33,3,2,0
804,,2023,,,,0,8,11,24,27,50,4,120,24.0,8,50,42,2,3,1
805,,2023,,,,0,3,12,17,19,23,5,74,14.8,3,23,20,4,1,0
806,,2023,,,,0,9,19,21,23,28,11,100,20.0,9,28,19,4,1,0
807,,2023,,,,0,7,14,40,45,47,2,153,30.6,7,47,40,3,2,1
808,,2023,,,,0,12,26,36,38,48,1,160,32.0,12,48,36,0,5,0
809,,2023,,,,0,16,17,29,39,48,20,149,29.8,16,48,32,3,2,1
810,,2023,,,,0,1,8,10,20,42,1,81,16.2,1,42,41,1,4,0
811,,2023,,,,0,7,35,38,40,44,5,164,32.8,7,44,37,2,3,0
812,,2023,,,,0,1,4,14,15,19,17,53,10.6,1,19,18,3,2,0
