day,date,year,month,day_of_month,day_of_week,is_weekend,ball_1,ball_2,ball_3,ball_4,ball_5,powerball,sum_main_balls,mean_main_balls,min_main_ball,max_main_ball,range_main_balls,odd_count,even_count,is_powerball_even
422,2013-11-26,2013,11,26,1,0,5,16,19,33,34,2,107,21.4,5,34,29,3,2,1
423,2013-11-29,2013,11,29,4,0,11,12,17,18,27,13,85,17.0,11,27,16,3,2,0
424,2013-12-03,2013,12,3,1,0,12,17,26,27,30,1,112,22.4,12,30,18,2,3,0
425,2013-12-06,2013,12,6,4,0,13,15,21,28,31,19,108,21.6,13,31,18,4,1,0
426,2013-12-10,2013,12,10,1,0,1,16,21,31,37,18,106,21.2,1,37,36,4,1,1
427,2013-12-13,2013,12,13,4,0,1,11,18,30,41,15,101,20.2,1,41,40,3,2,0
428,2013-12-17,2013,12,17,1,0,2,7,11,26,33,6,79,15.8,2,33,31,3,2,1
429,2013-12-20,2013,12,20,4,0,10,12,16,28,37,10,103,20.6,10,37,27,1,4,1
430,2013-12-24,2013,12,24,1,0,1,16,23,41,44,9,125,25.0,1,44,43,3,2,0
431,2013-12-27,2013,12,27,4,0,4,16,19,34,39,16,112,22.4,4,39,35,2,3,1
432,2013-12-31,2013,12,31,1,0,6,14,20,31,34,12,105,21.0,6,34,28,1,4,1
433,2014-01-03,2014,1,3,4,0,10,11,19,23,28,3,91,18.2,10,28,18,3,2,0
434,2014-01-07,2014,1,7,1,0,28,37,39,43,44,18,191,38.2,28,44,16,3,2,1
435,2014-01-10,2014,1,10,4,0,4,7,24,36,39,7,110,22.0,4,39,35,2,3,0
436,2014-01-14,2014,1,14,1,0,31,34,37,42,43,8,187,37.4,31,43,12,3,2,1
437,2014-01-17,2014,1,17,4,0,10,16,23,26,33,1,108,21.6,10,33,23,2,3,0
438,2014-01-21,2014,1,21,1,0,1,6,9,15,39,9,70,14.0,1,39,38,4,1,0
439,2014-01-24,2014,1,24,4,0,10,15,20,33,38,7,116,23.2,10,38,28,2,3,0
440,2014-01-28,2014,1,28,1,0,1,8,22,40,43,13,114,22.8,1,43,42,2,3,0
441,2014-01-31,2014,1,31,4,0,10,20,25,26,42,14,123,24.6,10,42,32,1,4,1
442,2014-02-04,2014,2,4,1,0,4,20,21,29,40,10,114,22.8,4,40,36,2,3,1
443,2014-02-07,2014,2,7,4,0,7,13,20,21,36,9,97,19.4,7,36,29,3,2,0
444,2014-02-11,2014,2,11,1,0,3,7,10,13,40,5,73,14.6,3,40,37,3,2,0
445,2014-02-14,2014,2,14,4,0,6,9,18,21,24,8,78,15.6,6,24,18,2,3,1
446,2014-02-18,2014,2,18,1,0,2,26,36,42,43,3,149,29.8,2,43,41,1,4,0
447,2014-02-21,2014,2,21,4,0,2,8,19,38,44,11,111,22.2,2,44,42,1,4,0
448,2014-02-25,2014,2,25,1,0,4,7,12,27,44,17,94,18.8,4,44,40,2,3,0
449,2014-02-28,2014,2,28,4,0,11,14,32,42,45,18,144,28.8,11,45,34,2,3,1
450,2014-03-04,2014,3,4,1,0,2,7,26,28,30,4,93,18.6,2,30,28,1,4,1
451,2014-03-07,2014,3,7,4,0,16,18,22,37,38,3,131,26.2,16,38,22,1,4,0
452,2014-03-11,2014,3,11,1,0,9,19,21,25,37,16,111,22.2,9,37,28,5,0,1
453,2014-03-14,2014,3,14,4,0,3,15,29,34,44,7,125,25.0,3,44,41,3,2,0
454,2014-03-18,2014,3,18,1,0,1,13,17,32,35,13,98,19.6,1,35,34,4,1,0
455,2014-03-21,2014,3,21,4,0,7,8,14,18,38,14,85,17.0,7,38,31,1,4,1
456,2014-03-25,2014,3,25,1,0,2,17,19,29,34,3,101,20.2,2,34,32,3,2,0
457,2014-03-28,2014,3,28,4,0,2,3,7,35,41,16,88,17.6,2,41,39,4,1,1
458,2014-04-01,2014,4,1,1,0,14,17,24,27,34,4,116,23.2,14,34,20,2,3,1
459,2014-04-04,2014,4,4,4,0,3,16,22,24,44,15,109,21.8,3,44,41,1,4,0
460,2014-04-08,2014,4,8,1,0,1,2,10,33,45,18,91,18.2,1,45,44,3,2,1
461,2014-04-11,2014,4,11,4,0,17,23,33,41,42,18,156,31.2,17,42,25,4,1,1
462,2014-04-15,2014,4,15,1,0,2,6,10,11,37,14,66,13.2,2,37,35,2,3,1
463,2014-04-22,2014,4,22,1,0,3,22,28,30,42,11,125,25.0,3,42,39,1,4,0
464,2014-04-25,2014,4,25,4,0,13,15,28,29,30,7,115,23.0,13,30,17,3,2,0
465,2014-04-29,2014,4,29,1,0,12,20,31,40,44,14,147,29.4,12,44,32,1,4,1
466,2014-05-02,2014,5,2,4,0,11,14,24,36,41,11,126,25.2,11,41,30,2,3,0
467,2014-05-06,2014,5,6,1,0,4,15,26,37,40,20,122,24.4,4,40,36,2,3,1
468,2014-05-09,2014,5,9,4,0,1,5,22,26,34,16,88,17.6,1,34,33,2,3,1
469,2014-05-13,2014,5,13,1,0,1,4,20,24,38,20,87,17.4,1,38,37,1,4,1
470,2014-05-16,2014,5,16,4,0,8,22,25,34,37,5,126,25.2,8,37,29,2,3,0
471,2014-05-20,2014,5,20,1,0,3,8,21,35,45,7,112,22.4,3,45,42,4,1,0
472,2014-05-23,2014,5,23,4,0,12,22,40,42,43,12,159,31.8,12,43,31,1,4,1
473,2014-05-27,2014,5,27,1,0,4,11,24,26,31,10,96,19.2,4,31,27,2,3,1
474,2014-05-30,2014,5,30,4,0,1,3,35,40,43,17,122,24.4,1,43,42,4,1,0
475,2014-06-03,2014,6,3,1,0,23,28,30,41,43,12,165,33.0,23,43,20,3,2,1
476,2014-06-06,2014,6,6,4,0,4,10,16,29,42,11,101,20.2,4,42,38,1,4,0
477,2014-06-10,2014,6,10,1,0,11,15,24,28,35,13,113,22.6,11,35,24,3,2,0
478,2014-06-13,2014,6,13,4,0,12,18,21,27,34,10,112,22.4,12,34,22,2,3,1
479,2014-06-17,2014,6,17,1,0,2,3,7,19,25,11,56,11.2,2,25,23,4,1,0
480,2014-06-20,2014,6,20,4,0,25,27,36,37,39,4,164,32.8,25,39,14,4,1,1
481,2014-06-24,2014,6,24,1,0,4,5,6,12,30,16,57,11.4,4,30,26,1,4,1
482,2014-06-27,2014,6,27,4,0,11,12,14,30,32,2,99,19.8,11,32,21,1,4,1
483,2014-07-01,2014,7,1,1,0,1,10,19,21,31,11,82,16.4,1,31,30,4,1,0
484,2014-07-04,2014,7,4,4,0,4,19,25,31,36,3,115,23.0,4,36,32,3,2,0
485,2014-07-08,2014,7,8,1,0,12,19,27,37,43,9,138,27.6,12,43,31,4,1,0
486,2014-07-11,2014,7,11,4,0,6,13,27,33,35,15,114,22.8,6,35,29,4,1,0
487,2014-07-15,2014,7,15,1,0,22,24,29,36,43,13,154,30.8,22,43,21,2,3,0
488,2014-07-18,2014,7,18,4,0,14,17,19,22,35,17,107,21.4,14,35,21,3,2,0
489,2014-07-22,2014,7,22,1,0,9,21,27,39,43,3,139,27.8,9,43,34,5,0,0
490,2014-07-25,2014,7,25,4,0,9,13,28,40,45,12,135,27.0,9,45,36,3,2,1
491,2014-07-29,2014,7,29,1,0,1,9,23,29,42,13,104,20.8,1,42,41,4,1,0
492,2014-08-01,2014,8,1,4,0,7,14,15,35,39,4,110,22.0,7,39,32,4,1,1
493,2014-08-05,2014,8,5,1,0,14,32,35,37,40,3,158,31.6,14,40,26,2,3,0
494,2014-08-08,2014,8,8,4,0,10,23,35,37,39,12,144,28.8,10,39,29,4,1,1
495,2014-08-12,2014,8,12,1,0,10,17,26,29,31,4,113,22.6,10,31,21,3,2,1
496,2014-08-15,2014,8,15,4,0,19,31,40,41,43,13,174,34.8,19,43,24,4,1,0
497,2014-08-19,2014,8,19,1,0,6,18,22,26,35,5,107,21.4,6,35,29,1,4,0
498,2014-08-22,2014,8,22,4,0,5,8,21,34,35,7,103,20.6,5,35,30,3,2,0
499,2014-08-26,2014,8,26,1,0,4,12,28,29,36,3,109,21.8,4,36,32,1,4,0
500,2014-08-29,2014,8,29,4,0,15,23,30,41,43,13,152,30.4,15,43,28,4,1,0
501,2014-09-02,2014,9,2,1,0,11,21,36,39,44,2,151,30.2,11,44,33,3,2,1
502,2014-09-05,2014,9,5,4,0,1,8,24,33,43,11,109,21.8,1,43,42,3,2,0
503,2014-09-09,2014,9,9,1,0,2,4,18,19,29,6,72,14.4,2,29,27,2,3,1
504,2014-09-12,2014,9,12,4,0,3,21,26,27,36,18,113,22.6,3,36,33,3,2,1
505,2014-09-16,2014,9,16,1,0,7,12,28,43,44,8,134,26.8,7,44,37,2,3,1
506,2014-09-19,2014,9,19,4,0,9,13,25,28,34,3,109,21.8,9,34,25,3,2,0
507,2014-09-23,2014,9,23,1,0,7,10,21,22,34,3,94,18.8,7,34,27,2,3,0
508,2014-09-26,2014,9,26,4,0,1,3,6,34,37,1,81,16.2,1,37,36,3,2,0
509,2014-09-30,2014,9,30,1,0,18,27,37,39,41,6,162,32.4,18,41,23,4,1,1
510,2014-10-03,2014,10,3,4,0,20,34,38,42,43,13,177,35.4,20,43,23,1,4,0
511,2014-10-07,2014,10,7,1,0,6,11,20,36,45,12,118,23.6,6,45,39,2,3,1
512,2014-10-10,2014,10,10,4,0,4,9,14,17,26,2,70,14.0,4,26,22,2,3,1
513,2014-10-14,2014,10,14,1,0,7,21,38,39,43,5,148,29.6,7,43,36,4,1,0
514,2014-10-17,2014,10,17,4,0,6,17,22,27,35,7,107,21.4,6,35,29,3,2,0
515,2014-10-21,2014,10,21,1,0,26,28,30,31,32,18,147,29.4,26,32,6,1,4,1
516,2014-10-24,2014,10,24,4,0,7,21,31,37,44,10,140,28.0,7,44,37,4,1,1
517,2014-10-28,2014,10,28,1,0,9,10,17,23,33,18,92,18.4,9,33,24,4,1,1
518,2014-10-31,2014,10,31,4,0,4,16,21,35,36,6,112,22.4,4,36,32,2,3,1
519,2014-11-04,2014,11,4,1,0,12,17,19,24,36,11,108,21.6,12,36,24,2,3,0
520,2014-11-07,2014,11,7,4,0,8,14,33,41,44,9,140,28.0,8,44,36,2,3,0
521,2014-11-11,2014,11,11,1,0,3,4,18,22,40,7,87,17.4,3,40,37,1,4,0
522,2014-11-14,2014,11,14,4,0,3,14,27,29,45,19,118,23.6,3,45,42,4,1,0
523,2014-11-18,2014,11,18,1,0,15,18,22,24,41,1,120,24.0,15,41,26,2,3,0
524,2014-11-21,2014,11,21,4,0,7,10,12,32,40,14,101,20.2,7,40,33,1,4,1
525,2014-11-25,2014,11,25,1,0,8,19,24,37,40,7,128,25.6,8,40,32,2,3,0
526,2014-11-28,2014,11,28,4,0,21,28,33,40,43,10,165,33.0,21,43,22,3,2,1
527,2014-12-02,2014,12,2,1,0,19,25,26,40,43,12,153,30.6,19,43,24,3,2,1
528,2014-12-05,2014,12,5,4,0,14,20,26,28,39,12,127,25.4,14,39,25,1,4,1
529,2014-12-09,2014,12,9,1,0,13,22,35,36,43,15,149,29.8,13,43,30,3,2,0
530,2014-12-12,2014,12,12,4,0,26,33,34,36,38,2,167,33.4,26,38,12,1,4,1
531,2014-12-16,2014,12,16,1,0,9,10,11,15,34,2,79,15.8,9,34,25,3,2,1
532,2014-12-19,2014,12,19,4,0,7,9,10,29,45,7,100,20.0,7,45,38,4,1,0
533,2014-12-23,2014,12,23,1,0,2,25,31,32,36,3,126,25.2,2,36,34,2,3,0
534,2014-12-26,2014,12,26,4,0,10,12,13,30,45,11,110,22.0,10,45,35,2,3,0
535,2014-12-30,2014,12,30,1,0,8,15,25,31,40,13,119,23.8,8,40,32,3,2,0
536,2015-01-02,2015,1,2,4,0,1,14,21,41,43,16,120,24.0,1,43,42,4,1,1
537,2015-01-06,2015,1,6,1,0,2,9,14,18,20,20,63,12.6,2,20,18,1,4,1
538,2015-01-09,2015,1,9,4,0,2,13,15,17,31,5,78,15.6,2,31,29,4,1,0
539,2015-01-13,2015,1,13,1,0,3,9,15,18,35,17,80,16.0,3,35,32,4,1,0
540,2015-01-16,2015,1,16,4,0,5,7,14,29,42,4,97,19.4,5,42,37,3,2,1
541,2015-01-20,2015,1,20,1,0,3,4,23,31,35,5,96,19.2,3,35,32,4,1,0
542,2015-01-23,2015,1,23,4,0,1,8,11,29,34,13,83,16.6,1,34,33,3,2,0
543,2015-01-27,2015,1,27,1,0,12,26,28,31,35,13,132,26.4,12,35,23,2,3,0
544,2015-01-30,2015,1,30,4,0,4,23,25,43,45,17,140,28.0,4,45,41,4,1,0
545,2015-02-03,2015,2,3,1,0,11,12,25,41,42,20,131,26.2,11,42,31,3,2,1
546,2015-02-06,2015,2,6,4,0,17,23,36,38,42,2,156,31.2,17,42,25,2,3,1
547,2015-02-10,2015,2,10,1,0,10,20,27,31,33,6,121,24.2,10,33,23,3,2,1
548,2015-02-13,2015,2,13,4,0,6,11,20,27,37,20,101,20.2,6,37,31,3,2,1
549,2015-02-17,2015,2,17,1,0,1,5,9,18,40,17,73,14.6,1,40,39,3,2,0
550,2015-02-20,2015,2,20,4,0,2,11,12,19,40,12,84,16.8,2,40,38,2,3,1
551,2015-02-24,2015,2,24,1,0,13,14,18,25,39,20,109,21.8,13,39,26,3,2,1
552,2015-02-27,2015,2,27,4,0,4,9,27,31,41,11,112,22.4,4,41,37,4,1,0
553,2015-03-03,2015,3,3,1,0,1,27,30,33,38,9,129,25.8,1,38,37,3,2,0
554,2015-03-06,2015,3,6,4,0,10,21,23,25,45,9,124,24.8,10,45,35,4,1,0
555,2015-03-10,2015,3,10,1,0,24,26,27,31,33,18,141,28.2,24,33,9,3,2,1
556,2015-03-13,2015,3,13,4,0,18,19,20,22,43,6,122,24.4,18,43,25,2,3,1
557,2015-03-17,2015,3,17,1,0,12,15,26,34,41,16,128,25.6,12,41,29,2,3,1
558,2015-03-20,2015,3,20,4,0,11,17,27,34,42,9,131,26.2,11,42,31,3,2,0
559,2015-03-24,2015,3,24,1,0,5,17,21,25,36,16,104,20.8,5,36,31,4,1,1
560,2015-03-27,2015,3,27,4,0,8,23,33,35,40,17,139,27.8,8,40,32,3,2,0
561,2015-03-31,2015,3,31,1,0,5,6,20,26,27,15,84,16.8,5,27,22,2,3,0
562,2015-04-07,2015,4,7,1,0,5,16,22,24,40,7,107,21.4,5,40,35,1,4,0
563,2015-04-10,2015,4,10,4,0,12,13,17,22,28,18,92,18.4,12,28,16,2,3,1
564,2015-04-14,2015,4,14,1,0,20,22,23,29,33,19,127,25.4,20,33,13,3,2,0
565,2015-04-17,2015,4,17,4,0,5,6,26,31,41,16,109,21.8,5,41,36,3,2,1
566,2015-04-21,2015,4,21,1,0,7,9,22,28,35,15,101,20.2,7,35,28,3,2,0
567,2015-04-24,2015,4,24,4,0,4,13,20,31,38,1,106,21.2,4,38,34,2,3,0
568,2015-04-28,2015,4,28,1,0,11,27,37,39,44,3,158,31.6,11,44,33,4,1,0
569,2015-05-01,2015,5,1,4,0,4,8,20,35,45,16,112,22.4,4,45,41,2,3,1
570,2015-05-05,2015,5,5,1,0,4,8,18,22,38,15,90,18.0,4,38,34,0,5,0
571,2015-05-08,2015,5,8,4,0,2,22,37,38,43,15,142,28.4,2,43,41,2,3,0
